instruction,input,output
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Pourquoi c'est agressif pour toi?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Come on, I'll invite you for a cup of tea.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Quite surprisingly, this claims to know what Muslim women think.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Guardi che ci sono ancora.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Mon voile relève de l'ordre de l'intime.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","No, it is not true.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Doing it right'? I think you have got your moral compass upside down!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est une généralisation subjective erronée.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We have no right to blame other people. Analysis showed that large majority of people convicted of sexual offences, regardless of the age of the victims, are white.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","All extremism cause hatred, even racists hate those who are not like them.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","De nombreuses femmes souffrent en silence de ne pouvoir se vêtir comme elles le souhaitent en France le pays de la liberté! Elles préfèrent préserver leur conscience tranquille et renoncer à des activités de loisir et de sport qu'elles adorent, il est où le politique?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Even if I don't necessarily like certain behaviours, I don't consider it a personal aggression, a little TOLERANCE won't hurt you.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est inférieur en europe.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It burns you up some business went sideways on a journey or had you studied at the 'Bar Sport'?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The islamic immigrants who work together to other migrants produce 2.4% of GDP.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le fameux point godwin.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You cannot generalize and blame for the crimes of a few fanatics thousands of others innocent people.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les terroristes seraient très heureux si c'était le cas.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ai migranti diamo vitto e alloggio solo se richiedenti asilo e grossomodo solo per la durata dall'analisi della richiesta.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",But who says it has to be our future? Religions can live together!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What about freedom of conscience? Many women wear berets or hats to go unnoticed while preserving their quiet conscience; where is the demonstration of political Islam?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Remove the veil that is over your eyes you will see more clearly!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","According to Crown Prosecution Service's source, at least 80% white people convicted of child abuse offences. What did this happen? We should stop hating and complaining others, and protect children and women from sexual crimes. If you want to help, please contact National Society for the Prevention of Cruelty to Children, Lucy Faithful Foundation, or Independent Sexual Violence Advocates.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Preferirei accogliere dei marziani piuttosto che dei musulmani.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Who are we? What do ""we"" see exactly?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Gli islamici si devono adattare alla nostra cultura e non viceversa.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non tutti i musulmani impongono il velo alle donne.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Easy to blame others isn't it, that way we do not have to look at our own sexism.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Wrong. Useless.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Why do you think it is because of Muslims? To me, globalization and tourism would explain more why Easter Eggs are being labelled 'Chocolate Eggs'.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is a religious sign. It has no connection with politic.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Larousse or Robert?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are a hundred similar images of Christian including those in the KKK standing next to their victims who used the Bible as a justification. Of course none of us believe they represent all Christians.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ha statistiche in merito che possano farci preoccupare che noi non conosciamo?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Of course it's a lie, a few cases are not the rule.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The number of incoming Muslims is too small to make significant changes in our society and healthcare.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Rispondere con violenza è esattamente quello a cui il terrorismo mira.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Queste persone terribili desiderano serrare tutte le nostre chiese.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I read a lot of resentment in your comment. You would welcome more willingly an alien rather than a person exactly like you, but with a different culture?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Children are innocent. They do not deserve terrified treatment. Children are the future. We should offer more hope and brightness to our future.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam also advocates freedom, equality and fraternity. This is visible in many verses and prophetic words.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is a religion that respects all religions.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This impression is certainly the result of excessive media coverage of Muslims. The subject sells!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est paix amour tolérance respect.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","In questo mondo siamo tutti uomini, nessuno è un animale. I musulmani sono uomini come noi e devono essere considerati come tali.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islamophobia is an incitement to hatred against a religion and a group of people.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Come può dire che ci ammazzano? Ha dei dati che lo dimostrano?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslims have no intention of returning to the Middle Ages: the integralists are a minority.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Women are not submissive but are free by their choice.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Stop looking bfm.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","The veil disturbs because it is visible, what can be said about the wearing of the cross or a yarmulke?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I musulmani in generale non impongono la loro religione con la forza. Lo hanno fatto molto più spesso i cristiani.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are no musulmanie.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","An unveiled woman is subject to human eyes, a veiled woman is free of it.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le manque de connaissance devient dangereux dans votre esprit.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Merci de garder vos propos racistes pour vous.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La storia è una cattiva maestra. È nostro compito non ripetere gli sbagli che sono stati fatti in precedenza. Dunque perché bisogna ancora compiere queste atrocità?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","We cannot build churches in islamic countries, why we should permit Muslims to build mosques in our countries?",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Edward is nice despite his appearance.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Plusieurs fois dans l'histoire, les musulmans ont accueilli des juifs persécutés par les chrétiens en Europe.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Essentialisation de personnes en raison de leur religion, c'est un discours de haine répréhensible.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Aucun rapport entre le voile et la politique.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","All the words end in ist, actually.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Alors que quand des Européens envahissent militairement des continents entiers, c'est un gentil partage de culture, une mission civilisatrice.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Je n'ai pas à apprendre à celui qui ne veut pas savoir les valeurs universellement connues de l'islam,.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims don't hate Christians, generalization is never good!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Oubliez nous un peu merci.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Les musulmans sont libre de vivre ou ils veulent, comme tout être humain dans ce monde.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims and others were invited into the UK after they fought and died in the second world protecting the UK because we needed help to rebuild the UK and they still do a great job keeping the NHS, transport and everything else going, despite us hating them.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","As you said, it is extremism which does not represent the majority of Muslims. We do not want more fear or hate speech in our life. We could help people know the true Muslims by reading the facts and conversing with your Muslim neighbors.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","You maintain the concept of the ""clash of civilizations"" in order to frighten people.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Représentation des choses faite par medias.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","When you say 'cult' you imply a minor religious group, but I isn't Islam one of the worlds major religions.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Perché non possiamo dialogare reciprocamente? In questo modo introdurremo loro alla nostra cultura e noi alla loro. Mi sembra un buon compromesso.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hate really? Even the doctors, surgeons, teachers, fire fighters, taxi drivers that rescued the Manchester bombing victims, the ones working to stop cancer, feed the homeless. See where I am going?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hi, I still think that in these cases, religion or nationality have nothing to do with it. Those who commit these acts should be treated as criminals regardless of any other aspect.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Vous habitez sur quelle planète?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Before the Christianization of France, there may have been a religion of majority, and before that, probably another one, and so on. After Islamization, perhaps France will become Buddhist, that is what simply makes the history of humanity.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Muslim women face discrimination and prejudice because of their religion in the West which isn't present in Muslim majority countries.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Super tant mieux super connaissance.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Freedom equality and brotherhood are also Muslim values.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Actually all modern science and mathematics are children of Islam.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam does not impose anything to anyone!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Origine ethnique et appartenance religieuse ne sont pas superposables, un même pays pouvant compter des personnes d'obédiences différentes. C'est aussi ce qui fait la richesse de notre douce France.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",No. It is a personal choice. Every woman is and should be free to wear the veil or not.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Il manque esclavagiste arriviste opportuniste.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","What does it mean to you to 'impose' their religion? Until proven otherwise, I have never seen Islam being taught in schools as is done with Catholicism.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Most Muslims are too busy working hard, looking after their families and neighbours, propping up the NHS to be worried about such nonsense.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is becoming comical.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Wearing a veil is just a religious freedom.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Islam is comparable to a disease to eliminate.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","British Muslims give more to charity than any other religious group, I'd call that a pillar of our society.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","All the major world religions have at some time been associated with extreme human rights abuses against men, women and children.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Are they nice? That is sweet, but you know there is a little bit of everything.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Complètement faux.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La maggioranza degli immigrati sono musulmani. Inutile negare che questa invasione, certo pacifica, porterà nella nostra società la Sharia. Contenti voi se la sharia rappresenta culture e arricchimento!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","There is a confusion. Secularism means that the state does not have an official religion, but citizens have the choice of religion and to manifest it; the state is the guarantor of these liberties. So wearing the veil is a freedom fully guaranteed by law.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si demain, tous les francais se convertissaient à l'islam par conviction, quel serait le probleme exactement? Tant que les personnes sont en phase avec leur cheminement spirituel, cela ne devrait pas vous inquieter.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I would prefer the Martians than these fucking Muslims.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What have Muslims ever done for us?,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Forse augurare la morte a delle persone non è l'approccio giusto da adottare.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Some of the oldest civilisations in existence are Islamic. I would not call the religious hatred directed at Muslims in Europe 'civilised'.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Everyone should be free to express their culture freely.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Long live the Republic and long live France! Proud to be French Muslim.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A real disgrace would be children not being taught about other religions and growing up with a narrow mindset.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Your statement is a lawsuit.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Tutti terroristi? Mia zia ha sposato un uomo arabo, hanno due meravigliosi figli e vivono negli stati uniti. L'uomo arabo in questo caso ha conquistato solo il cuore di mia zia, niente violenza né bombe.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You want to stir up fear to generate hatred.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","La criminalità non è certo ad appannaggio dei migranti, siamo benissimo capaci di organizzarci da soli.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Dopo tante violenze, alla fine si giungerà alla bomba atomica.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Look, there are still.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",La violenza è sempre sbagliata. Inoltre è' ripudiata nella nostra costituzione. Questo post quindi è contrario ai principi alla base del nostro stato.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I guess the right to deport naughty foreign nationals should cut both ways?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ma lei l'islam lo ha studiato?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Italy has a laic constitution. The hypothesis of imposition of the veil seems to me a provocation.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Could you give me your data with the sources? Thank you very much.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The real problem is that you spend your time hating us.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Pauvres de vous! Je vous plains!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est un manque de connaissance des femmes Musulmanes.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",A me non pare di vedere così tante moschee nelle nostre città. Mi saprebbe fornire qualche dato in merito al loro numero?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","So all the doctors, teachers, shop owners and workers belong in this category? I do not think so!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Lei ha letto il Corano? Mi sembra che parli per stereotipi.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Please check this [https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-muslim-cancer-research],non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les femmes en mini jupe sont soumises et obligée de porter des mini jupe.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Sexualization of children is a modern value? Do you actually know what is meant by values?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Induire La peur et rien que la peur!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L Islam c est comme le film E. T ou les envahisseurs sinon FAUT JUSTE ARRÊTER NETFLIX de temps en temps.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Muslims have immoral costums and they abuse women and all persons that are not following their religion or have different sexual orientations. However, our society accept them for liberal standards. The goverment should stop tolerating them.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Ma dove? Ma perché dovete dire sempre le solite falsità https://www.bufale.net/home/precisazioni-moschee-italia-chiese-arabia-saudita/.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Il y a une raison religieuse derrière cela. En outre, les médecins empêchent les personnes qui vont subir une intervention chirurgicale de manger aussi.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You obviously do not understand what mental illness is? Why do not you read up on some psychology.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Salve, potrebbe meglio spiegarmi cosa intende con invasione islamica? E saprebbe anche indicarmi un dato che testimoni questa affermazione?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If only we tried to integrate them really, rather than relegate them to the margins of our society, perhaps the phenomena of violence would be limited.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You know nothing about the religion or its practitioners.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You'll have to demonstrate it to me.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",So you think the economy of Saudi Arabia is based only on the work of men?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I see more and more uninhibited racism and a fixation on Muslims!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",There are extremists in all religions. The essential thing is to remember that God does not want to kill him towards these brothers and sisters in humanity.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","These are statements that are extremists, are you sure that you want to be on their side? What you say has no basis.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It does not appear to me, actually.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Removing the law against the veil would allow them to go back to work.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","It is obviously a mental illness, the conciliation to Islam and Muslims.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Evidence? There are none. Islam was rather a source of light for the rebirth of Europe, as evidenced by all the works. Islam has never practiced the Inquisition as demonstrated by the intelligent coexistence of religions in Muslim Spain.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",France is the only country that seeks to exclude women from society.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you have statistics on the growth of Islam?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Maybe by learning about other people's beliefs, your children will turn out to be tolerant understanding people. Look at the bright side!",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Hello, actually the data show that the majority of immigrants in Italy are Christian-Orthodox and non-Muslim faith: the situation is very diverse and I do not think we can speak of invasion when the number of Muslims in Italy (including Italian citizens) is just under 5%.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Whoever says terrorism says ""who sows terror"". Have the millions of Muslims in France set our country on fire and blood?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Incitement to hatred terrorism is prohibited because it would have harmed the people who would harm them!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The Muslims are all fanatics and want to rule in our home!,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si ces femmes étaient ""soumises"", résisteraient elles autant à la pression islamophobe dans les lieux publics et les lieux de travail?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non tutti gli islamici non vogliono imporre il loro credo. Generalizzare non fa mai bene!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you think the rape crime or gangs are formed only by Muslims? What do you suggest we can do to reduce the crime rate?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Christmas isn't banned, you do not have to say 'Winter Celebration', candy canes are honestly fine (unless you are diabetic). This is all manufactured outrage to create anti-Muslim sentiment. Chill.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",This kind of talk should be condemned!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Quale soluzione propone? Non accogliere persone che rischiano la vita per scappare da fame e guerra? Credo che sul nostro territorio ci sia spazio in abbondanza per praticare l'islam senza doverci convertire tutti.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam will spread out of love by redemption but not by terror. People will choose the path of truth, benevolence, beneficence.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The number of mosques in Italy is totally insignificant.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Are you sure about this? Have you interviewed every single person in this country? Tell me more about this.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Le voile n'est pas la démonstration de quoi que ce soit, une foi ne peut se démontrer, elle se ressent.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non-muslims are the ones who used slavery to build the foundations of western society and relied on it to advance capitalism. What is your point?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Nella maggioranza delle scuole il crocifisso c'è ancora.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si vous avez des exemples auprès de votre entourage pour laquelle la personne a été obligée, conseillez à cette personne qu'elle peut porter plainte.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If you think about it, maybe the Middle Ages is never past, have you ever read the book of Vacca, 'the next dark age'?",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","There are more than a billion Muslims in the world, so if that were the case, we would have seen more terrorist acts.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Islam invites women to educate themselves and study, contrary to this comment which reflects hatred and rejection of others.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Se ben portato il velo può essere molto elegante.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",What diseases are you talking about?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",By definition the Muslim love life and the people who compose it.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Le seul but de vos parole est fondé sur de la haine sous couvert d'islamophobie.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","There is no Muslim problem in France, there is increasingly a problem with the visibility of Muslims.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","If we were all terrorists, the world would no longer exist.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Do you have proof of what you say?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Tous les musulmans sont cruels.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",It is a lie.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The number of mosques is proportionate to the amount of Muslims in the area.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",I exhort you to do some research and you'll find that only a small part of the Italian population is of islamic faith.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","C'est une idée reçu. Énormément de femmes voilées ont une vie active,.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Maybe the ones intolerant of Islam and Muslims are the ones that are ignorant about what it truly is?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",C'est un message de provocation et de haine.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Avez vous des statistiques sur la croissance de l'Islam?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Sono i musulmani che devono adeguarsi alla nostra civiltà occidentale, non dobbiamo fare il contrario.",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",The term Islamic is an aberration.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Si 1 personne sur 7 dans le monde était terroriste, cela fait bien longtemps qu'il n'y aurait plus personne dans ce monde.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Une femme non voilée est soumise au regard malsaint des hommes, une femme voilée est libre de cela.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Veiled women do it due to religious conviction and not by compulsion. I have met, moreover, numerous Muslim families in which some women are veiled and others not.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Does prohibiton of anything ever work? I though religious tolerance was one of our 'British values'?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Diviser pour mieux régner!,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Les musulmans doivent intégrer ou quitter.,hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",They wear the veil because they are free to wear it.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Incitation à la Haine.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",L'islam est une religion qui appelle a raisonner.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",You sure?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Mon pays est la France.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Dove ha trovato dati a conferma di tale affermazione?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Can you forward them an article on telecommuting?,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Non è vero che li manteniamo. Solo un numero piccolissimo di richiedenti asilo viene accolto per un breve periodo (a spese dello stato ma senza dare loro nulla ad eccetto di un paio di euro giornalieri). La stragrande maggioranza provvede autonomamente al proprio sostentamento.,non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.","Malheureusement, la Musulmanie n'existe pas. Les religions/ croyances/ philosophies/ systèmes de pensée transcendent les frontières géographiques et n'admettent pas de limites, sauf celles que l'homme se fixe lui-même. Jésus est bien né à Nazareth. Est-ce pour autant que Chrétiens et Juifs devraient s'y installer.? Un peu de sérieux.",non-hate
"Categorize the input sentence into 2 categories
Hate
Non-hate

.",Oh! You mean the home of modern maths and science?,non-hate
